created_at,id,text,geo,coordinates,lang,timestamp_ms
Wed Sep 30 14:38:35 +0000 2015,649231871755317200,: So Sturgeon is not - after all she claimed - going to give a home to Syrian refugees?  We said exactly this would... ht…,,,en,1443623915028
Wed Sep 30 14:38:35 +0000 2015,649231873290469400,": David Cameron is doing nowhere near enough to help refugees, says Andy Burnham ",,,en,1443623915394
Wed Sep 30 14:38:36 +0000 2015,649231878386516000,": Muslim refugees will have to learn to live with other religions, Migration Minister Dieter Lauinger said.  …",,,en,1443623916609
Wed Sep 30 14:38:38 +0000 2015,649231888104689700,: This is what ,,,en,1443623918926
Wed Sep 30 14:38:39 +0000 2015,649231890612920300,: Refugees: The Next Wave of Disruptors  by,,,en,1443623919524
Wed Sep 30 14:38:39 +0000 2015,649231891497922600,: Hundreds of refugees arrive in Greece from ,,,en,1443623919735
Wed Sep 30 14:38:39 +0000 2015,649231891359494100,Turkey: Coast guards rescue 97 refugees off Canakkale: Turkish coast guards rescued 97 refugees off the coast ... ,,,en,1443623919702
Wed Sep 30 14:38:39 +0000 2015,649231892156444700,"UNICEF ""I feel there are two solutions to the ",,,en,1443623919892
Wed Sep 30 14:38:40 +0000 2015,649231892760408000,": Obama professes Christianity, invites hoards of Muslim refugees &amp; depos Christians to their death
",,,en,1443623920036
Wed Sep 30 14:38:40 +0000 2015,649231894828187600,": The stress of povey engenders a ""scarcity mindset"" in refugees. Should we still give cash?  http://…",,,en,1443623920529
Wed Sep 30 14:38:40 +0000 2015,649231895960678400,: I feel there are two solutions to the ,,,en,1443623920799
Wed Sep 30 14:38:40 +0000 2015,649231896577212400,": From citizens to NGOs, everyone can play a role in helping refugees.
Here's how:  ",,,en,1443623920946
Wed Sep 30 14:38:40 +0000 2015,649231896086380500,: Dear if u really want this so plz call Afghan refugees back in Afgh and let the Pak clean ,,,en,1443623920829
Wed Sep 30 14:38:42 +0000 2015,649231901228576800,: This is what ,,,en,1443623922055
Wed Sep 30 14:38:42 +0000 2015,649231901778161700,Michel Foucault on refugees – a previously untranslated interview from 1979 | Progressive Geographies ,,,en,1443623922186
Wed Sep 30 14:38:42 +0000 2015,649231903980146700,: Strong suppofor refugees across Scotland ,,,en,1443623922711
Wed Sep 30 14:38:43 +0000 2015,649231909025923100,": US Resettlement of 10,000 Syrian refugees is not even close to being commensurate with the massive scale of the Syrian refug…",,,en,1443623923914
Wed Sep 30 14:38:44 +0000 2015,649231912310054900,Since when did Mark stawearing suits..? O.o ,,,en,1443623924697
Wed Sep 30 14:38:46 +0000 2015,649231919071277000,"MUSLIMS PERSECUTE CHRISTIANREFUGEES IN GERMANY

""Where we are, there is the Sharia, there is our law.""

",,,en,1443623926309
Wed Sep 30 14:38:48 +0000 2015,649231928143425500,Hea-touching Youtube comment on John Oliver's video about Migrants and Refugees. ,,,en,1443623928472
Wed Sep 30 14:38:48 +0000 2015,649231929791742000,"George Soros Demands EU Accept 1 Million Refugees Per Year


★",,,en,1443623928865
Wed Sep 30 14:38:49 +0000 2015,649231932476272600,: BREAKING: 'We must repel terrorists and not ,,,en,1443623929505
Wed Sep 30 14:38:50 +0000 2015,649231936217579500,"George Soros Demands EU Accept 1 Million Refugees Per Year


★",,,en,1443623930397
Wed Sep 30 14:38:51 +0000 2015,649231942546657300,: Accepting refugees could be one way Japan deals with its declining population &amp; future labour shoage …,,,en,1443623931906
Wed Sep 30 14:38:52 +0000 2015,649231943096270800, save the ,,,en,1443623932037
Wed Sep 30 14:38:52 +0000 2015,649231943322591200,: Orlando Bloom Meets Refugees In Republic Of Macedonia ,,,en,1443623932091
Wed Sep 30 14:38:52 +0000 2015,649231943503118300,: “Refugees” in the Netherlands brawl over a football match. 40 police and 4 dog handlers required to break it up. http://t.c…,,,en,1443623932134
Wed Sep 30 14:38:52 +0000 2015,649231945327620100,: What is your company doing about the ,,,en,1443623932569
Wed Sep 30 14:38:53 +0000 2015,649231947860996100,": Russian forces will help Assad slaughter any who oppose him. Bombing civilians is Putin’s style, too. He’s also happy w mor…",,,en,1443623933173
Wed Sep 30 14:38:53 +0000 2015,649231949761015800,While refugees around the corner starve of hunger I.... ,,,en,1443623933626
Wed Sep 30 14:38:55 +0000 2015,649231958007021600,": Russian forces will help Assad slaughter any who oppose him. Bombing civilians is Putin’s style, too. He’s also happy w mor…",,,en,1443623935592
Wed Sep 30 14:38:55 +0000 2015,649231958971584500,The AJR hosts the archive of the Jewish Refugees Committee (paof the Central British Fund for World Jewish ,,,en,1443623935822
Wed Sep 30 14:38:56 +0000 2015,649231962650091500,"Whaa! Banksy's Dismaland moves to Calais to provide shelter for refugees
",,,en,1443623936699
Wed Sep 30 14:38:56 +0000 2015,649231963765604400,": From citizens to NGOs, everyone can play a role in helping refugees.
Here's how:  ",,,en,1443623936965
Wed Sep 30 14:38:57 +0000 2015,649231964877275100,: ,,,en,1443623937230
Wed Sep 30 14:38:58 +0000 2015,649231971499970600,: Abe says Japan must solve its own problems before accepting any Syria refugees ,,,en,1443623938809
Wed Sep 30 14:39:00 +0000 2015,649231979674759200,my grandmother just asked why refugees with good jobs are leaving syria oh my god,,,en,1443623940758
Wed Sep 30 14:39:01 +0000 2015,649231984875712500,": ""I've heard so many repos from Christian refugees who were attacked by conservative Muslims” - in Germany …",,,en,1443623941998
Wed Sep 30 14:39:02 +0000 2015,649231988314894300,": Russian forces will help Assad slaughter any who oppose him. Bombing civilians is Putin’s style, too. He’s also happy w mor…",,,en,1443623942818
Wed Sep 30 14:39:03 +0000 2015,649231990680612900," Can you explain to us all how Saudi Arabia, UAE, Qatar are such undesirable places for refugees? I'd love to know.",,,en,1443623943382
Wed Sep 30 14:39:03 +0000 2015,649231992433737700,": From citizens to NGOs, everyone can play a role in helping refugees.
Here's how:  ",,,en,1443623943800
Wed Sep 30 14:39:07 +0000 2015,649232006258098200,: This is what ,,,en,1443623947096
Wed Sep 30 14:39:13 +0000 2015,649232031595937800,: ,,,en,1443623953137
Wed Sep 30 14:39:14 +0000 2015,649232036947857400,": Russian forces will help Assad slaughter any who oppose him. Bombing civilians is Putin’s style, too. He’s also happy w mor…",,,en,1443623954413
Wed Sep 30 14:39:18 +0000 2015,649232055390326800,: ,,,en,1443623958810
Wed Sep 30 14:39:20 +0000 2015,649232061564325900,": David Cameron is doing nowhere near enough to help refugees, says Andy Burnham ",,,en,1443623960282
Wed Sep 30 14:39:21 +0000 2015,649232065104343000,Irish 'pledge a bed' for refugees campaign is overwhelmed with offers  via,,,en,1443623961126
Wed Sep 30 14:39:24 +0000 2015,649232079675355100,": At the U.N., Japan pledged to increase aid to refugees uprooted by mayhem in the Middle East.  http…",,,en,1443623964600
Wed Sep 30 14:39:28 +0000 2015,649232095999430700,": From citizens to NGOs, everyone can play a role in helping refugees.
Here's how:  ",,,en,1443623968492
Wed Sep 30 14:39:30 +0000 2015,649232102689407000,: Answer:Japan has a lot of problems still more serious than Syrian refugees!,,,en,1443623970087
Wed Sep 30 14:39:31 +0000 2015,649232107747864600,,,,en,1443623971293
Wed Sep 30 14:39:31 +0000 2015,649232109446524900,: Bergoglio's Refugees in churches - shocking pictures of desecration! ,,,en,1443623971698
Wed Sep 30 14:39:32 +0000 2015,649232111774208000,: Since 2014 Oxfam has reached 500k Syrian refugees in Jordan-Lebanon w/ relief. Help reach more  http:…,,,en,1443623972253
