created_at,id,text,geo,coordinates,lang,timestamp_ms
Wed Sep 30 14:41:22 +0000 2015,649232575895109600,: Manifestations de clandestins à répétition à Calais : les commerçants prêts à déposer plainte ,,,fr,1443624082908
Wed Sep 30 14:41:30 +0000 2015,649232609185263600,: Nos courageux ,,,fr,1443624090845
Wed Sep 30 14:41:31 +0000 2015,649232610112208900,: APL : pourquoi ne pas piocher dans les indemnités des élus pro-,,,fr,1443624091066
Wed Sep 30 14:41:32 +0000 2015,649232617938788400,: Les autres avant les nôtres : Le gouvernement va baisser les ,,,fr,1443624092932
Wed Sep 30 14:41:38 +0000 2015,649232639610748900,: Réduction des APL pour pouvoir financer l'accueil des ,,,fr,1443624098099
Wed Sep 30 14:41:53 +0000 2015,649232704580493300,La ,,,fr,1443624113589
Wed Sep 30 14:41:54 +0000 2015,649232706665074700,: ,,,fr,1443624114086
Wed Sep 30 14:41:55 +0000 2015,649232710528049200,: Manifestations de clandestins à répétition à Calais : les commerçants prêts à déposer plainte ,,,fr,1443624115007
Wed Sep 30 14:41:55 +0000 2015,649232713938018300,: Les autres avant les nôtres : Le gouvernement va baisser les ,,,fr,1443624115820
Wed Sep 30 14:41:59 +0000 2015,649232730912354300,: RSA c'est pour qui d'abord? ,,,fr,1443624119867
Wed Sep 30 14:42:05 +0000 2015,649232755344187400,Mensonge. Les APL baissent parce que le budget baissent.  Conséquence de l'austérité.   ,,,fr,1443624125692
Wed Sep 30 14:42:06 +0000 2015,649232758972284900,: Manifestations de clandestins à répétition à Calais : les commerçants prêts à déposer plainte ,,,fr,1443624126557
Wed Sep 30 14:42:07 +0000 2015,649232762680004600,Budget 2016 : baisse des APL de 225 millions d'euros pour financer l'accueil des ,,,fr,1443624127441
Wed Sep 30 14:42:08 +0000 2015,649232766182125600,Comme d'habitude ... avec la 'deuxieme sexe.' ,,,fr,1443624128276
Wed Sep 30 14:42:09 +0000 2015,649232772754743300, Francetv info: Un campement d'une trentaine de migrants évacué à Vintimille ,,,fr,1443624129843
Wed Sep 30 14:42:14 +0000 2015,649232792270839800,":  : « Il y a un mois il n'y avait pas d'argent pour nous, aujourd'hui il y en a pour les ",,,fr,1443624134496
Wed Sep 30 14:42:17 +0000 2015,649232805461950500,: Budget 2016 : baisse des APL de 225 millions d'euros pour financer l'accueil des ,,,fr,1443624137641
Wed Sep 30 14:42:23 +0000 2015,649232829822423000,: ,,,fr,1443624143449
Wed Sep 30 14:42:26 +0000 2015,649232842099159000,: Les autres avant les nôtres : Le gouvernement va baisser les ,,,fr,1443624146376
Wed Sep 30 14:42:35 +0000 2015,649232879776624600,: Les joueurs du bayern qui jouent avec un jeune migrant autiste (image très emouvant) ,,,fr,1443624155359
Wed Sep 30 14:42:39 +0000 2015,649232898634203100,: Lorsque l'on fuit la guerre on se réfugie dans le premier pays en paix à proximité. On ne traverse pas un continent enti…,,,fr,1443624159855
Wed Sep 30 14:42:40 +0000 2015,649232901498884100,: ,,,fr,1443624160538
Wed Sep 30 14:42:42 +0000 2015,649232911112241200,: Budget 2016 : baisse des APL de 225 millions d'euros pour financer l'accueil des ,,,fr,1443624162830
Wed Sep 30 14:42:46 +0000 2015,649232925419012100,Effroyable prédiction de Poutine concernant l’Europe et la crise des migrants ,,,fr,1443624166241
Wed Sep 30 14:42:46 +0000 2015,649232927591649300,: ,,,fr,1443624166759
Wed Sep 30 14:42:53 +0000 2015,649232956704354300,: Les autres avant les nôtres : Le gouvernement va baisser les ,,,fr,1443624173700
Wed Sep 30 14:42:54 +0000 2015,649232960923795500,"Vintimille : pour échapper à l'évacuation, des migrants menacent de se jeter à l'eau ",,,fr,1443624174706
Wed Sep 30 14:42:56 +0000 2015,649232967676637200,: Les joueurs du bayern qui jouent avec un jeune migrant autiste (image très emouvant) ,,,fr,1443624176316
